Symbol,Price
PURR/USDC,0.15001
HFUN/USDC,84.001
LICK/USDC,8.01e-05
MANLET/USDC,0.02225
JEFF/USDC,9.3084
SIX/USDC,0.68689
WAGMI/USDC,0.000868
CAPPY/USDC,7.524e-05
POINTS/USDC,0.010373
TRUMP/USDC,0.0016
GMEOW/USDC,0.00047598
PEPE/USDC,0.001242
XULIAN/USDC,0.00020078
RUG/USDC,0.0099119
ILIENS/USDC,0.00024837
FUCKY/USDC,0.000933
CZ/USDC,0.19018
BAGS/USDC,0.0001522
ANSEM/USDC,0.011386
TATE/USDC,0.013277
PUMP/USDC,0.0002364
KOBE/USDC,0.00016057
HAPPY/USDC,0.26135
SCHIZO/USDC,1.6752
SELL/USDC,0.00036693
BIGBEN/USDC,0.001018
CATNIP/USDC,0.012874
HBOOST/USDC,0.000129
SUCKY/USDC,0.00037024
GUP/USDC,0.13348
FARMED/USDC,0.002551
GPT/USDC,6.1e-05
PURRPS/USDC,0.0001303
BID/USDC,1.196e-05
HODL/USDC,0.005268
VEGAS/USDC,0.21966
ASI/USDC,0.006169
VAPOR/USDC,0.014119
PANDA/USDC,0.0065192
PILL/USDC,0.002707
ADHD/USDC,0.0035465
FUN/USDC,0.1
LADY/USDC,0.032527
MOG/USDC,0.000254
HPEPE/USDC,0.0027176
JEET/USDC,0.0010059
DROP/USDC,0.001177
MBAPPE/USDC,0.03065
TEST/USDC,0.0013442
RAGE/USDC,0.059429
FRAC/USDC,0.28575
ATEHUN/USDC,1.436
COZY/USDC,0.22387
ARI/USDC,0.001424
WASH/USDC,0.75223
ANT/USDC,0.11809
NFT/USDC,0.43935
RICH/USDC,0.44854
LORA/USDC,0.21501
CATBAL/USDC,8.0486
TJIF/USDC,0.25287
GUESS/USDC,0.048769
MAXI/USDC,0.36431
NMTD/USDC,0.3176
HPUMP/USDC,0.34526
PIGEON/USDC,0.33411
RISE/USDC,0.00253
CINDY/USDC,0.23789
CHINA/USDC,0.44893
STACK/USDC,0.65611
FRIED/USDC,0.20259
NOCEX/USDC,0.93086
RANK/USDC,0.4179
OMNIX/USDC,0.0038027
RIP/USDC,0.69445
G/USDC,0.083
BOZO/USDC,0.017209
SPH/USDC,7.9767
SHOE/USDC,0.26448
MONAD/USDC,0.0012182
HOPE/USDC,0.00082502
BUSSY/USDC,0.18633
FATCAT/USDC,0.131
SHREK/USDC,0.36386
PIP/USDC,8.6578
LQNA/USDC,3.9656
NASDAQ/USDC,0.1456
YEETI/USDC,0.001688
SYLVI/USDC,0.44851
FEIT/USDC,0.17201
FRUDO/USDC,0.1654
VIZN/USDC,0.16105
STRICT/USDC,0.00017719
AUTIST/USDC,0.70631
MAGA/USDC,0.001487
HGOD/USDC,0.18165
LIQUID/USDC,0.58697
EARTH/USDC,0.20245
UP/USDC,0.029068
NIGGO/USDC,0.19476
HOP/USDC,0.13973
LUCKY/USDC,0.00022602
COPE/USDC,0.24929
HPYH/USDC,2.9214
YAP/USDC,0.24631
HYPE/USDC,26.618
CHEF/USDC,0.35952
WOW/USDC,0.018901
STEEL/USDC,0.13211
RETARD/USDC,0.24136
MEOW/USDC,0.0024206
NEIRO/USDC,0.001242
PEAR/USDC,0.0023704
HOLD/USDC,0.12641
MUNCH/USDC,6.16e-05
BERA/USDC,0.017358
GENESY/USDC,1.3106
BUBZ/USDC,0.10413
PICKL/USDC,0.1771
SHEEP/USDC,0.11255
LAUNCH/USDC,0.14326
FARM/USDC,10.992
FLASK/USDC,0.19783
VAULT/USDC,0.22581
CAT/USDC,0.30906
HYENA/USDC,0.33742
DEPIN/USDC,0.009159
MON/USDC,0.04481
BEATS/USDC,0.002437
ORA/USDC,2.0374
LIQD/USDC,0.037143
H/USDC,0.017069
STAR/USDC,0.13528
SENT/USDC,0.001942
SOLV/USDC,0.042526
FLY/USDC,0.011282
TIME/USDC,0.0056131
SOVRN/USDC,0.052444
HWTR/USDC,0.044127
GOD/USDC,0.091196
UBTC/USDC,6969696.0
BTC/USDC:USDC,97958.0
ETH/USDC:USDC,2790.4
ATOM/USDC:USDC,4.7497
MATIC/USDC:USDC,0.37621
DYDX/USDC:USDC,0.773
SOL/USDC:USDC,205.26
AVAX/USDC:USDC,27.164
BNB/USDC:USDC,573.03
APE/USDC:USDC,0.71601
OP/USDC:USDC,1.1316
LTC/USDC:USDC,105.94
ARB/USDC:USDC,0.4917
DOGE/USDC:USDC,0.26616
INJ/USDC:USDC,14.782
SUI/USDC:USDC,3.612
kPEPE/USDC:USDC,0.01035
CRV/USDC:USDC,0.53304
LDO/USDC:USDC,1.8092
LINK/USDC:USDC,19.876
STX/USDC:USDC,1.0205
RNDR/USDC:USDC,6.8946
CFX/USDC:USDC,0.11629
FTM/USDC:USDC,0.73
GMX/USDC:USDC,17.143
SNX/USDC:USDC,1.1138
XRP/USDC:USDC,2.5323
BCH/USDC:USDC,335.23
APT/USDC:USDC,6.2161
AAVE/USDC:USDC,277.47
COMP/USDC:USDC,52.618
MKR/USDC:USDC,939.99
WLD/USDC:USDC,1.3409
FXS/USDC:USDC,1.7467
HPOS/USDC:USDC,0.09881
RLB/USDC:USDC,0.080974
UNIBOT/USDC:USDC,7.636
YGG/USDC:USDC,0.23619
TRX/USDC:USDC,0.22631
kSHIB/USDC:USDC,0.016332
